Job Title,Company,Description,Location,Salary Min,Salary Max,Date Posted,URL
Senior Software Engineer (Python),BP Energy,"Entity: Trading & Shipping Job Family Group: Supply & Trading Group Job Description: The Trading Data Analytics team within the Trading Analytics & Insights (TA&I) organisation in bp Trading & Shipping comprises Quantitative Analytics, Data Strategists and Core Strategists. Linked by the common themes of data, numerical algorithms and technology, the team seeks to contribute to the business by providing new models, tradable insights and agile technology solutions that empower the analyst commun…","Crestwood, Houston",138992.4,138992.4,2024-10-29T16:35:26Z,https://www.adzuna.com/land/ad/4917931721?se=NHjXy5uq7xG5SnnPu6Ek9w&utm_medium=api&utm_source=e21b27ee&v=8A52E745E981706556097B4B0C0F32B915CB081C
Sr. Backend Software Engineer,Meijer,"As a family company, we serve people and communities. When you work at Meijer, you’re provided with career and community opportunities centered around leadership, personal growth and development. Consider joining our family – take care of your career and your community Meijer Rewards Weekly pay Scheduling flexibility Paid parental leave Paid education assistance Team member discount Development programs for advancement and career growth Please review the job profile below and apply today This p…","Belmont, Kent County",118638.8,118638.8,2024-11-10T01:13:11Z,https://www.adzuna.com/land/ad/4933370156?se=NHjXy5uq7xG5SnnPu6Ek9w&utm_medium=api&utm_source=e21b27ee&v=8C821F9662CC45C294ED02656FA1008154F6E8CC
Sr. Software Engineer - Mobile,Meijer,"As a family company, we serve people and communities. When you work at Meijer, you’re provided with career and community opportunities centered around leadership, personal growth and development. Consider joining our family – take care of your career and your community Meijer Rewards Weekly pay Scheduling flexibility Paid parental leave Paid education assistance Team member discount Development programs for advancement and career growth Please review the job profile below and apply today This p…","Belmont, Kent County",108041.95,108041.95,2024-10-15T11:51:30Z,https://www.adzuna.com/land/ad/4902683574?se=NHjXy5uq7xG5SnnPu6Ek9w&utm_medium=api&utm_source=e21b27ee&v=9D35C44E3417B60F1622DF3AEABE568AC4B4614B
Acquisition Software Engineer,Naval Air Systems Command ,"Position Description The Harpoon/SLAM ER/JSOW Technical Project Office (TPO) is seeking a full time software engineer to support software activities for the obsolescence updates to the SLAM ER, Harpoon Block II Update (HIIU) and Harpoon Coastal Defense System (HCDS). The incumbent will be a member of the TPO’s Software team responsible for the missile software and simulation development and ensure weapon system software meets specification requirements. The incumbent will provide input into the…","China Lake, Kern County",88583.57,88583.57,2024-11-16T04:21:41Z,https://www.adzuna.com/land/ad/4941260438?se=NHjXy5uq7xG5SnnPu6Ek9w&utm_medium=api&utm_source=e21b27ee&v=586D04169E35A0C4186B4FDE3C126D7690FC8D2A
Senior Software Engineer,Innova,"A client of Innova Solutions is immediately hiring for a Senior Software Engineer Position Type: Full-Time Contract Duration: 12 months Location: Richardson, TX As a Senior Software Engineer, you will: Design, develop, and maintain advanced software applications for our Satellite Ground Systems. This role involves close collaboration with systems engineers, hardware designers, and other software engineers to deliver reliable and high-performance software solutions. Design, implement, and test J…","Richardson, Dallas",121932.35,121932.35,2024-11-15T09:42:55Z,https://www.adzuna.com/details/4940271538?utm_medium=api&utm_source=e21b27ee
Software Engineering Manager,Softworld Inc,"Job Title: 80623 - Software Engineering Manager Job Location: Bridgeton Missouri 63044 Onsite Requirements: Must have supervisory or management experience. Experience in one of the following: C, C++, C# and/or Java Embedded development Job Description: Our client is seeking a full-time Embedded Software Engineering Manager for their Bridgeton, MO facility. This role will be responsible for supervising and developing a team of software engineers on activities and the completion of the activities…","Bridgeton, Saint Louis County",133348.23,133348.23,2024-11-06T20:44:34Z,https://www.adzuna.com/details/4929157424?utm_medium=api&utm_source=e21b27ee
Java Software Engineer,Volt,"Move Forward with Volt Volt is immediately hiring Java Software Engineer in Aurora, CO. As Java Software Engineer, you will: The Java Software Engineer will design, develop, and maintain advanced software applications for our Satellite Ground Systems. This role involves close collaboration with systems engineers, hardware designers, and other software engineers to deliver reliable and high-performance software solutions. What You Will Do: • Design, implement, and test Java-based applications an…","Aurora, Arapahoe County",88769.2,88769.2,2024-11-21T10:41:29Z,https://www.adzuna.com/details/4946736176?utm_medium=api&utm_source=e21b27ee
Java Software Engineer,Volt,"Move Forward with Volt Volt is immediately hiring Java Software Engineer in Richardson, TX. As Senior Software Engineer, you will: We are looking for Java Software Engineer to support our teams in Richardson, Texas. You will have the opportunity to directly impact the world around you and contribute to classified programs and technologies you are passionate about. In this role, you will use your solid foundation in Java and experience working in a Linux environment to comprehend customer needs …","Murphy, Collin County",79830.78,79830.78,2024-11-21T10:41:27Z,https://www.adzuna.com/details/4946736156?utm_medium=api&utm_source=e21b27ee
Principal Software Engineer,Volt,"Move Forward with Volt Volt is immediately hiring Principal Java Software Engineer in Richardson, TX. As Principal Java Software Engineer, you will: As a Principal Java Software Engineer you will support our teams in Richardson, Texas. You will have the opportunity to directly impact the world around you and contribute to classified programs and technologies you are passionate about. In this role, you will use your solid foundation in Java and experience working in a Linux environment to compre…","Murphy, Collin County",94173.15,94173.15,2024-11-09T09:54:47Z,https://www.adzuna.com/details/4932744306?utm_medium=api&utm_source=e21b27ee
Software Engineer- .net,Schneider Electric,"For this U.S. based position, the expected compensation range is $112,000 - $168,000 per year, which includes base pay and short-term incentive. The compensation range for this full-time position applies to candidates located within the United States. Our salary ranges are determined by reviewing roles of similar responsibility and level. Within the salary range, individual pay is determined by several factors including performance, knowledge, job-related skills, experience, and relevant educat…","Louisville, Jefferson County",91324.85,91324.85,2024-11-14T02:51:37Z,https://www.adzuna.com/land/ad/4938501621?se=NHjXy5uq7xG5SnnPu6Ek9w&utm_medium=api&utm_source=e21b27ee&v=7A767458B995CC147B40C2AA660AE8BBB3FDAFC9
